Category,Resume
DevOps Engineer,"DevOps Engineer with 1 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2019. Automated infrastructure and deployment pipelines."
Data Science,"Data Scientist with 5 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2016. Experience in building end-to-end ML pipelines and deploying models to production."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 5 years. B.Tech IT 2021."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 8 years experience. B.Tech IT 2020."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2019. Built enterprise-level backend systems."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2016. Built enterprise-level backend systems."
Data Analyst,"Data Analyst with 8 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2020. Analyzed large datasets and created dashboards for business insights."
Data Science,"Data Scientist with 1 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2016. Experience in building end-to-end ML pipelines and deploying models to production."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 2 years experience. MCA 2018."
Machine Learning Engineer,"ML Engineer with 5 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2021. Designed and deployed ML models at scale."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 3 years experience. B.Tech 2016."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 8 years experience. B.Tech CSE 2023."
Java Developer,"Java Developer with 3 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2019. Built enterprise-level backend systems."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 6 years experience. MCA 2017."
SQL Developer,"SQL Developer with 7 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2021."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 6 years experience. MCA 2017."
Data Analyst,"Business Data Analyst with 2 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2021. Delivered actionable insights to stakeholders through reports and dashboards."
DevOps Engineer,"DevOps Engineer with 8 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2020. Automated infrastructure and deployment pipelines."
Data Science,"Experienced Data Scientist with 8 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2016. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Analyst,"Data Analyst with 3 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2020. Analyzed large datasets and created dashboards for business insights."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 3 years. B.Tech IT 2021."
Python Developer,"Python Developer with 7 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2016. Built and maintained scalable Python applications."
Data Analyst,"Business Data Analyst with 3 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2016. Delivered actionable insights to stakeholders through reports and dashboards."
Web Developer,"Full Stack Web Developer with 5 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2022. Built scalable web applications and RESTful APIs."
Machine Learning Engineer,"ML Engineer with 6 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2023. Designed and deployed ML models at scale."
Data Science,"Experienced Data Scientist with 1 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2020. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Science,"Experienced Data Scientist with 7 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2019. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Python Developer,"Python Developer with 4 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2023. Built and maintained scalable Python applications."
Web Developer,"Frontend Developer with 3 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2021. Designed responsive and user-friendly web interfaces."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 8 years experience. MCA 2023."
Testing,"QA Engineer with 8 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
Web Developer,"Frontend Developer with 1 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2023. Designed responsive and user-friendly web interfaces."
Python Developer,"Python Developer with 1 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2019. Built and maintained scalable Python applications."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 8 years experience. B.Tech IT 2022."
Data Science,"Experienced Data Scientist with 6 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2015. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2015. Built enterprise-level backend systems."
Python Developer,"Python Developer with 8 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2016. Built and maintained scalable Python applications."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 8 years. MCA 2020."
Data Science,"Experienced Data Scientist with 4 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2023. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Analyst,"Data Analyst with 8 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2018. Analyzed large datasets and created dashboards for business insights."
Data Science,"Experienced Data Scientist with 8 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2016. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Science,"Data Scientist with 2 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2018. Experience in building end-to-end ML pipelines and deploying models to production."
Testing,"QA Engineer with 5 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2021. Published multiple apps on Google Play Store."
Data Science,"Experienced Data Scientist with 1 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2016. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Java Developer,"Java Developer with 4 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2018. Built enterprise-level backend systems."
SQL Developer,"SQL Developer with 5 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2019."
Web Developer,"Full Stack Web Developer with 2 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2016. Built scalable web applications and RESTful APIs."
Data Analyst,"Data Analyst with 2 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2020. Analyzed large datasets and created dashboards for business insights."
DevOps Engineer,"DevOps Engineer with 2 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2015. Automated infrastructure and deployment pipelines."
SQL Developer,"SQL Developer with 8 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2022."
Data Science,"Experienced Data Scientist with 5 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2021. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
SQL Developer,"SQL Developer with 1 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2022."
Testing,"QA Engineer with 4 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
Data Science,"Experienced Data Scientist with 6 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2018. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
Data Science,"Data Scientist with 1 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2017. Experience in building end-to-end ML pipelines and deploying models to production."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 8 years. B.Tech IT 2018."
Data Analyst,"Data Analyst with 5 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2020. Analyzed large datasets and created dashboards for business insights."
Data Science,"Data Scientist with 7 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2017. Experience in building end-to-end ML pipelines and deploying models to production."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 4 years experience. B.Tech CSE 2019."
Testing,"QA Engineer with 7 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2017."
Data Analyst,"Business Data Analyst with 4 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2018. Delivered actionable insights to stakeholders through reports and dashboards."
Data Analyst,"Business Data Analyst with 4 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2019. Delivered actionable insights to stakeholders through reports and dashboards."
Machine Learning Engineer,"ML Engineer with 8 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2017. Designed and deployed ML models at scale."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 7 years experience. B.Tech IT 2021."
Machine Learning Engineer,"ML Engineer with 6 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2018. Designed and deployed ML models at scale."
Data Analyst,"Data Analyst with 4 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2022. Analyzed large datasets and created dashboards for business insights."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 8 years experience. B.Tech IT 2023."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2021. Published multiple apps on Google Play Store."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 2 years experience. B.Tech CSE 2021."
SQL Developer,"SQL Developer with 5 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2018."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 8 years experience. B.Tech IT 2018."
Testing,"QA Engineer with 3 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2017."
Data Analyst,"Business Data Analyst with 6 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2016. Delivered actionable insights to stakeholders through reports and dashboards."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 2 years experience. B.Tech IT 2016."
Web Developer,"Full Stack Web Developer with 5 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2022. Built scalable web applications and RESTful APIs."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 1 years experience. MCA 2016."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2023."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 1 years. B.Tech IT 2020."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 5 years experience. B.Tech IT 2020."
SQL Developer,"SQL Developer with 6 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2021."
Python Developer,"Python Developer with 2 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2022. Built and maintained scalable Python applications."
Data Analyst,"Data Analyst with 6 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2018. Analyzed large datasets and created dashboards for business insights."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 2 years experience. MCA 2022."
Data Analyst,"Data Analyst with 8 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
Web Developer,"Full Stack Web Developer with 4 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2020. Built scalable web applications and RESTful APIs."
Machine Learning Engineer,"ML Engineer with 8 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2023. Designed and deployed ML models at scale."
Android Developer,"Android Developer with 5 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2023. Published multiple apps on Google Play Store."
Testing,"Software Test Engineer. Skills: Selenium, Python, Java, TestNG, API Testing, Postman, JIRA, Git, Agile, Performance Testing, JMeter, Manual Testing. 6 years. B.Tech IT 2023."
Web Developer,"Full Stack Web Developer with 4 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2015. Built scalable web applications and RESTful APIs."
Java Developer,"Java Developer with 3 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2019. Built enterprise-level backend systems."
Machine Learning Engineer,"ML Engineer with 7 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2021. Designed and deployed ML models at scale."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2020."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 5 years experience. B.Tech CSE 2020."
Java Developer,"Java Developer with 5 years experience in Java, Spring Boot, Hibernate, REST API, SQL, MySQL, PostgreSQL, Maven, Git, Docker, Microservices, AWS, Jenkins, JUnit. B.Tech Computer Science 2022. Built enterprise-level backend systems."
Web Developer,"Full Stack Web Developer with 7 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2019. Built scalable web applications and RESTful APIs."
Testing,"QA Engineer with 5 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
Android Developer,"Android Developer with 2 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2022. Published multiple apps on Google Play Store."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 8 years experience. B.Tech IT 2016."
Data Analyst,"Data Analyst with 4 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2021. Analyzed large datasets and created dashboards for business insights."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 8 years experience. B.Tech 2019."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 1 years experience. B.Tech IT 2019."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 5 years experience. B.Tech IT 2017."
Android Developer,"Android Developer with 3 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2015. Published multiple apps on Google Play Store."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 5 years experience. B.Tech IT 2018."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 2 years experience. MCA 2015."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 3 years experience. B.Tech IT 2016."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 8 years experience. MCA 2022."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 5 years experience. B.Tech IT 2020."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 5 years experience. B.Tech IT 2021."
Data Science,"Data Scientist with 6 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2016. Experience in building end-to-end ML pipelines and deploying models to production."
